context,date_time
完全是跟跌不跟涨呀,06-05 10:05
mad，大盘没跌，老子钱没有了，,06-05 10:05
三个字，经营贷...,06-05 10:05
这是在干嘛,06-05 10:05
A你无论什么时候走回过头来看都是值得的,06-05 10:05
每天打开一看，一声叹息，基本就是不看了,06-05 10:05
石油股会大涨么？要有信心,06-05 10:04
现在短线好迷茫啊。[困顿]想切换长线股，质地好的都翻倍了，感觉位置偏高[困顿],06-04 04:38
兄弟你又是4000多家待涨,06-05 09:33
hhhhhhhh哈哈哈哈哈哈哈哈哈哈哈嘿嘿,06-05 10:04
满地鸡毛,06-05 10:03
惊爆！全球领先！且客户几乎覆盖所有HJT组件厂商，还有消费电子、MiniLED、固态电池和其它等领域均处领先，赛伍技术牛不牛？,06-05 07:14
今日低开震荡,06-05 10:02
[呲牙][呲牙],06-05 10:02
再坚持一年，回不回本都清仓销户，不玩了，要命,06-05 09:41
创业板比大盘强，大盘无力啊,06-05 10:01
就这样磨三年，散户肯定磨死了,06-05 10:01
上证涨一点真难啊！,06-05 10:01
周二指数震荡上涨，全市场量能有所减少，维持在7500亿元左右。开盘沪指横盘震荡，,06-05 10:01
怎么办怎么办,06-05 10:00
真的不容易，个股都不动都在看，是谁拉的？,06-05 10:00
聚餐光电不是半导体吗营收也不错利润也不错的,06-05 10:00
见红了,06-05 10:00
大盘又红了，个股又暴跌，呵呵了,06-05 10:00
一样突破3100,06-05 10:00
3000多股下跌，1000多股上涨，大盘居然全是红的？！牛不牛？,06-05 09:59
都在观望中,06-05 09:59
每天都这样[捂脸][捂脸],06-05 09:59
不给追涨的一点活路,06-05 09:59
炒股廿多年。,06-05 09:59
我天天亏。有意思,06-05 09:58
都在进攻大票吗的小票感觉没动静,06-05 09:58
定了，今天拉券商,06-05 09:58
来了，开始拉券商了,06-05 09:58
能给微盘股留点韭菜根吗,06-05 09:58
朋友们大家早上好！做A股，得适应A股。要适应A股，必须了解A股是个什么样的市场，,06-05 08:31
又开始垃指数出货了,06-05 09:58
天天在希望中绝望,06-05 09:35
有没有玩头了,06-05 09:57
半导体，工业母机和通用设备重点关注，比较活跃,06-05 09:53
继续啊，三千以下，我好进来,06-05 09:56
现在的行情，盈利好的股要么持股不动，要么销户不玩了。动就亏。不动也亏。,06-05 09:41
十天九天跌，也是醉了,06-05 09:55
连绿三天，要疯了,06-05 09:55
有没有哪位大神统计过今年内资主力在大A跑了多少资金,06-05 09:55
这波行情感觉军工是领头羊,06-05 09:55
可恶,06-05 09:55
缩量新低,06-05 09:55
现在炒股想赚钱真是难，大亏就非常容易。,06-05 09:54
小盘股的位置估计在2000点了,06-05 09:38
难受想哭,06-04 10:20
哇！技术性牛市，大盘涨势猛跌幅小，每天才三四千家待涨，红的那些你们不喜欢吗？为什,06-05 09:54
根据我买股票多年的经验，钻研各种成份股基本面和k线分析，发现买一两只就够了。因为,06-05 09:53
又是个诱多的一天~~~,06-05 09:53
中信说了，年度级别行情，大家不要怕。,06-05 09:31
我要销户了，套的钱我也不要了，再见再见再见。,06-05 09:36
机构想要廉价筹码就给个问询函，这玩意儿真是无本万利,06-05 09:53
厉害，超4000只股票下跌，大盘跌了零点几,06-05 09:41
每天四千家待涨成了家常便饭,06-05 09:52
低点探明，可以进了,06-05 09:52
开盘就跑，保住本金要紧,06-05 09:28
有没有人和我一起，大盘没怎么跌，我的账户亏了30个点，什么情况,06-05 09:38
买002598啊,06-05 09:51
裸眼3D看欧洲杯,06-03 10:50
上证早盘杀一下然后上涨，个股需要缓一天还回不上来，又是一天好行情[想一下],06-05 09:51
主力是铁匠托生吗，天天砸。。。,06-05 09:32
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,06-05 09:37
为什么会有砸不完的资金？天天都卖，还怎么玩？,06-05 09:50
冲高完成，开始下落。,06-05 09:49
把钱还给我，我不玩了,06-05 09:49
销户是一种智慧,06-05 09:49
"最高点跌了89%，次新3亿流值微盘股倒数第一，是2股东央企，破发48%,179掉",06-04 02:26
房子也不好股票也不好银行利息也不敢[偷笑],06-05 09:47
券商股掀起涨停潮，推动大盘强势上涨,06-05 09:30
把小盘股砸退市！,06-05 09:46
指数天天拉回来，个股天天创新低,06-05 09:46
量化真赚钱,06-05 09:46
一些电力捣乱资金真讨厌啊,06-05 09:45
市值小是种罪吗，没有中小企业，何来创造就业,06-05 09:45
六月底银行要收回钱半年结，要学会休息。,06-05 09:45
到了现阶段，改革到了深水区，也是改革进入了文明高阶，那些对资本有偏见的思想已经是,06-05 12:53
你能信？只能涨不能跌！,06-04 10:18
A股：明天是何走势,06-04 10:05
今日双建仓，无奈市场太弱,06-04 08:39
6.4（周二）大盘收评和明日大盘走势,06-05 12:11
科技上涨、白酒下跌，现在怎样操作？,06-03 07:12
上证06月04日复盘及06.05走势预测（潮之声2024.06.04作文）202,06-05 12:17
扬帆新材开盘大面，众智科技午后走强，正丹股份反弹超13%！,06-04 05:32
A股：收评，主力晒下一点点曙光，明天大盘会这样走！,06-04 03:44
我觉得但是如果市场接下来没有好的板块，超跌/低股价板块的修复可能成为主线，就类似,06-05 12:33
别人涨10倍也与我们没关系，吃咸菜的操心吃肉的塞牙。#印度股债汇“三杀”，发生了,06-05 12:31
调整边缘！A股恐还有弱势，不要上头！,06-04 11:36
半导体是最近唯一有持续性的板块，今天成交额超过10亿的个股很多都在半导体，板块内,06-03 08:02
微盘股跳水，半导体上攻！谁能引领六月份行情？,06-03 02:54
感觉现在是究往过正.在没有做出相应的投资人保护的情况下，用药太猛。现在暴雷突然变,06-04 11:23
狐导上期预测今天大盘还会回踩3072附近，但是回踩后会对3082附近进行反抽，强,06-04 11:23
A股菜菜们避险来买港股了吗,06-04 03:08
对于大A股民的几点忠告…这是我亲身体会！1，如果看到利好小作文【无论哪儿发的】切,06-04 10:20
2024年6月4日收盘 明日看点，,06-04 11:57
只要哪里有利空，大A都会全部买单，永不落空！#印度股债汇“三杀”，发生了什么？#,06-04 11:56
突破10亿！宜人金科自主研发的企业级风控平台成果显著,06-04 11:54
等机构出货出得都差不多了，ST会越来越多，最迟7月份会有更多的公司ST，别问我为,06-04 11:53
今天的走势美妙绝伦，准备好麻袋吧！明天周三还要扶摇直上。,06-04 04:52
#印度股债汇“三杀”，发生了什么？#,06-04 11:49
开盘超四千下跌，今天下午会怎么走?,06-04 12:25
6.4日实盘更新。,06-04 05:56
悬了#印度股债汇“三杀”，发生了什么？#,06-04 11:44
价值决定了投资者的收益,06-04 10:21
在这亏得都是我牙缝里省出来的钱，如果亏没了，我就一分钱都不会再花，宁可饿死也不会,06-04 09:14
接下来2种走势。,06-04 11:40
我看顽主杯冠军组的几位大佬基本都空仓了，我感觉明天又是4000多家待涨。,06-04 11:25
短期最好的结果就是震荡调整,06-04 11:23
新零售板块调整的差不多了吧？资金总喜欢去那些有的没的的地方，来新零售，山东零售新,06-04 10:35
怎么又给看了？,06-04 10:32
狐导上期预测今天上午大盘开盘就是回踩到3072附近然后最高反抽到了3097点。中,06-03 07:26
这样的行情，这样的环境，电风扇的轮转，老老实实跟我玩组合吧？？？,06-04 11:10
突发利好！A股爆拉，证监会、能源局重磅，印度股市历史级暴跌,06-04 04:26
打破涨跌规律，明天个股能否反弹？,06-04 11:14
美股的技术性故障引人深思,06-04 08:06
$上证指数(SH000001)$,06-04 11:10
第一取消量化交易第二散户t+0机构t+3第三取消印花税第四造价的公司违规减持的公,06-04 11:10
第一取消量化交易第二散户t+0机构t+3第三取消印花税第四造假的公司违规减持的公,06-04 11:06
李大霄：2024年将是非常平稳的发展格局！,06-03 02:26
每天临睡前看看自己的票有没有关注函[憨笑],06-04 10:35
禁止转融通融券，禁止量化，尽快改革落实从严从重理赔制度，不要把散户股民当儿戏，骗,06-04 11:00
[图片],06-04 10:53
明天？上上上上上上别看了？买买买买买买！坚决买入！,06-04 10:50
广州市基层政府下场收购商品房 按成本价收,06-04 04:15
A股周二收评：何时摔杯？！,06-04 03:25
明天必大涨,06-04 10:45
尾盘我看是无效拉升。。只要你不赔谁要就给谁。应该没毛病哦。拭目以待吧,06-04 09:22
A股：今天的走势美妙绝伦，准备好麻袋吧，明天周三还有扶摇直上,06-04 05:55
只有拉伸才符合他们的利益，双m型所形成的低估值这一部分的仓位是比大多数股票的主力,06-04 10:40
A股突发大涨！不得了了，明天还能涨？,06-04 10:39
现在抄底。。。。。光伏电力。。。。。。！！！！,06-04 02:05
明天题材股能不能出现反弹，关键就是看今晚,06-04 10:34
……,06-04 10:33
借每次反弹，减仓！都是减仓良机！珍惜！,06-04 10:29
$上证指数(SH000001)$,06-04 10:21
都在等这个月的会,06-04 10:20
2024年将是历史最难的高考！,06-04 08:13
【又一家暴雷，太难了！】,06-04 08:09
历史新高了你是一句不提#印度股债汇“三杀”，发生了什么？#,06-04 10:18
中智股份IPO被终止，原因是账面趴着60.7亿的现金，19年-21年累计分红超3,06-04 08:48
指数如期反弹,06-04 10:16
之前提到本轮春季行情反弹先看年线图5年10年均线3180-3250区间，或半年线,06-04 10:09
。#印度股债汇“三杀”，发生了什么？#,06-04 10:08
坐落于上海闵行区的国家级高新区——紫竹高新区，目前已入驻企业7399家，集聚了以,06-04 10:08
#AIPC概念大跌，热点缘何没有持续性？#,06-04 10:05
2024相当艰难的一年，从来没试过这么难做的市场，5个月，感觉来了3~4次，,06-04 10:04
又开始电力了…哎,06-04 09:58
#AIPC概念大跌，热点缘何没有持续性？#,06-04 09:55
【股市暴跌】印度和墨西哥股市暴跌！一天跌去一年涨幅，什么情况？,06-04 09:55
